architecture,board_slot_width,bus_interface,chip_package,display_connectors,double_float_performance,foundry,generation,half_float_performance,manufacturer,memory_type,name,pixel_rate,power_connectors,price,ray_tracing_cores,release_date,render_output_processors,shading_units,single_float_performance,streaming_multiprocessors,tensor_cores,texture_mapping_units,texture_rate
G200,Single-slot,PCI,,"1x DVI, 1x VGA",,UMC,G Series(G2xx),,Matrox,SDR,Millennium G200 SD,0.084,None,0,0,1998-01-01,1,0,,0,0,1,0.084
G200,Single-slot,AGP 2x,,"1x DVI, 1x VGA",,UMC,G Series(G2xx),,Matrox,SDR,Mystique G200,0.084,None,0,0,1998-01-01,1,0,,0,0,1,0.084
G100,Single-slot,AGP 2x,,1x VGA,,UMC,G Series(G1xx),,Matrox,SGR,Productiva G100,0.041,None,0,0,1998-01-01,1,0,,0,0,1,0.041
Celsius,Single-slot,AGP 4x,,1x VGA,,TSMC,GeForce 256,,NVIDIA,DDR,GeForce 256 DDR,0.48,None,0,0,1999-12-23,4,0,,0,0,4,0.48
Celsius,Single-slot,AGP 4x,,1x VGA,,TSMC,GeForce 256,,NVIDIA,SDR,GeForce 256 SDR,0.48,None,0,0,1999-10-11,4,0,,0,0,4,0.48
Celsius,Single-slot,AGP 4x,,1x VGA,,TSMC,Quadro Celsius,,NVIDIA,SDR,Quadro,0.54,None,0,0,1999-01-01,4,0,,0,0,4,0.54
Fahrenheit,Single-slot,AGP 4x,,1x VGA,,TSMC,TNT2,,NVIDIA,SDR,Riva TNT2,0.25,None,0,0,1999-10-12,2,0,,0,0,2,0.25
Fahrenheit,Single-slot,AGP 4x,,1x VGA,,TSMC,TNT2,,NVIDIA,SDR,Riva TNT2 M64,0.25,None,0,0,1999-10-12,2,0,,0,0,2,0.25
Fahrenheit,Single-slot,AGP 4x,,1x VGA,,TSMC,TNT2,,NVIDIA,SDR,Riva TNT2 M64 Vanta,0.2,None,0,0,1999-03-22,2,0,,0,0,2,0.2
Fahrenheit,Single-slot,AGP 4x,,1x VGA,,TSMC,TNT2,,NVIDIA,SDR,Riva TNT2 M64 Vanta-16,0.2,None,0,0,1999-03-22,2,0,,0,0,2,0.2
Fahrenheit,Single-slot,AGP 4x,,1x VGA,,TSMC,TNT2,,NVIDIA,SDR,Riva TNT2 PRO,0.286,None,0,0,1999-10-12,2,0,,0,0,2,0.286
Fahrenheit,Single-slot,AGP 4x,,"1x VGA, 2x S-Video",,TSMC,TNT2,,NVIDIA,SDR,Riva TNT2 Ultra,0.3,None,0,0,1999-03-15,2,0,,0,0,2,0.3
Generation 1.0,Single-slot,AGP 2x,,"1x VGA, 2x S-Video",,Intel,Graphics,,Intel,SDR,i752,0.1,,0,0,1999-04-27,1,0,,0,0,1,0.1
Generation 1.0,IGP,FSB,,,,Intel,Graphics(IGP),,Intel,System Shared,i810 Graphics,0.133,,0,0,1999-01-01,1,0,,0,0,1,0.133
Rage 4,Single-slot,AGP 4x,BGA-272/329,"1x VGA, 2x S-Video",,TSMC,All-In-Wonder(128),,ATI,SDR,All-In-Wonder 128,0.18,None,0,0,1999-06-16,2,0,,0,0,2,0.18
Rage 4,Single-slot,PCI,BGA-272/329,"1x VGA, 2x S-Video",,TSMC,All-In-Wonder(128),,ATI,SDR,All-In-Wonder 128 PCI,0.18,None,0,0,1999-06-16,2,0,,0,0,2,0.18
Rage 4,Single-slot,AGP 4x,BGA-328/329/385,"1x VGA, 2x S-Video",,UMC,All-In-Wonder(128),,ATI,SDR,All-In-Wonder 128 PRO,0.24,None,0,0,1999-06-16,2,0,,0,0,2,0.24
Rage 4,Single-slot,AGP 4x,BGA-272/329,"1x VGA, 2x S-Video",,TSMC,All-In-Wonder(128),,ATI,SDR,All-In-Wonder 128 PRO Ultra,0.268,None,0,0,1999-06-16,2,0,,0,0,2,0.268
IBM,Single-slot,AGP 2x,,1x VGA,,IBM,Fire GL,,ATI,SDR,Fire GL1,0.045,None,0,0,1999-03-01,1,0,,0,0,1,0.045
Rage 4,Single-slot,AGP 4x,BGA-328/329/385,"1x VGA, 1x S-Video",,UMC,Rage 4,,ATI,SDR,Rage 128 PRO,0.236,None,0,0,1999-08-01,2,0,,0,0,2,0.236
Rage 4,Single-slot,AGP 4x,BGA-328/329/385,1x VGA,,UMC,Rage 4,,ATI,SDR,Rage 128 PRO Ultra,0.26,None,0,0,1999-08-01,2,0,,0,0,2,0.26
Rage 4,Single-slot,AGP 4x,BGA-328/329/385,1x VGA,,UMC,Rage 4,,ATI,DDR,Rage 128 Ultra,0.26,None,0,0,1999-08-01,2,0,,0,0,2,0.26
Rage 4,Single-slot,AGP 2x,BGA-328/329/385,"1x VGA, 1x S-Video",,UMC,Rage 4,,ATI,SDR,Rage Fury,0.16,None,0,0,1999-08-01,2,0,,0,0,2,0.16
Rage 4,Single-slot,AGP 4x,BGA-328/329/385,1x VGA,,UMC,Rage 4,,ATI,SDR,Rage Fury MAXX,0.25,None,0,0,1999-10-01,2,0,,0,0,2,0.25
Rage 4,Single-slot,AGP 2x,,1x DB13W3,,TSMC,Rage Mobility(128),,ATI,SDR,Rage Mobility 128 AGP 2X,0.21,,0,0,1999-10-01,2,0,,0,0,2,0.21
Rage 4,Single-slot,AGP 4x,,1x DB13W3,,TSMC,Rage Mobility(128),,ATI,DDR,Rage Mobility 128 AGP 4X,0.21,,0,0,1999-10-01,2,0,,0,0,2,0.21
Rage 4,Single-slot,AGP 2x,,1x VGA,,TSMC,Rage Mobility,,ATI,SDR,Rage Mobility-CL,0.075,,0,0,1999-02-01,1,0,,0,0,1,0.075
Rage 4,Single-slot,AGP 2x,,1x VGA,,TSMC,Rage Mobility(Mx),,ATI,SDR,Rage Mobility-M,0.075,,0,0,1999-02-01,1,0,,0,0,1,0.075
